Answer (English),color_sum,threat_sum,fading_sum,form_sum,kinesthetics_sum
"First thing that happened to me
 makes you think, and it's funny because
 that this is not the form at all,
 but there, this hollow there, this void there, this
 reminds me of when you make a
 kiss with lipstick on a
 thing and suddenly the hole remains
 something… something… Red is what I like
 serious discomfort",1,0,0,0,0
"So (points to the bottom)
 of the image), and it's a bit annoying
 so (laughs), but that makes me
 think about hips, and that, the side
 symmetrical it reminds me of a
 vagina, but it's super creepy
 suddenly, (long pause) annoying more
 that creepy but hey…",1,1,0,0,0
"And then, it's a lot
 funnier like that, it makes me
 think of a camel, no
 camel because two humps, with the
 head here (shows) he doesn't have the
 legs not the tail but he has the
 head here and one, two bumps
 (shows), it obscures the thing a little
 because it is taken in such a way
 asymmetrical.",0,0,0,1,0
"It reminds me of a
 marine animal whose name I forgot
 noun As I don't see it as
 a whole, the asymmetrical side me
 shocks less. Moreover, there are
 less I feel.",0,0,0,1,0
"That's a knot
 butterfly but it’s quite classic",0,0,0,1,0
"If we remove the knot
 butterfly, there is a waiter here
 (right cover), which is about to
 remove a chair and who is
 slightly back and there is
 someone who does the same thing
 on the other side. But suddenly, the
 table is tiny.
 But there you really have the server
 with head, arms on chair
 and with the legs and um there you go
 (shown in the image).˄ The tasks there don’t remind me of
 much",1,0,0,0,1
"And then like that, in
 that means, for me, an insect,
 big eyes there (points),
 mandibles there (shows), and the
 papattes there (shows). Once
 again, that implies concealing that (hide the two red spots
 on each side at the bottom with its
 hands).And actually, I like this one
 compared to others",1,0,0,0,0
"Once again you can
 recognize heads (show),
 you will have someone who would… I
 I don’t know… Like once again
 legs (shows), and who is in
 train of…
 And there the arms again, and who is in
 stretching out behind like
 that (mimes), as if he were doing
 gym with legs in the air.
 (hides the bottom of the image with its
 hands).Yeah, you need a little imagination
 but uh…. It's still doing well.
 Afterwards I agree that the
 shapes and proportions are not
 respected but that’s the thing I
 see in any case.˅ These tasks inspire me
 really not, nowhere do I see them
 in no stuff actually.",1,0,0,0,1
"What's funny about
 character who goes back there is
 that like it has a kind of crest,
 you see, the hair a little
 anyhow, like one
 style…",1,0,0,0,0
"Like that, it makes me
 think about… that the hollow, the two
 holes there actually (show), when you
 look at a skull on a radio
 really catches the eye
 because in fact it’s as if
 you had the change in density
 here (shows)",1,0,1,0,0
"So it makes me
 think, if I can include that
 as information, to the skeleton, it suits you
 make people laugh, from Independence Day,
 bad guys, aliens,
 it's a kind of skeleton
 weird, super flared like that,
 There.",1,0,1,0,0
"It breaks everything because it
 makes you think of a lot of things
 here, like a head, a buffalo or
 a wild boar, something like that you
 see (hide the rest of the board
 with his hands).",0,0,0,1,0
"And if you put it like that
 (tilts the board), it makes
 faces but in short we don't care
 details",0,0,0,1,0
"That makes me think of
 pig ears, I don't know why but you know ears
 of pigs who are demeaned",0,0,0,1,0
"And when you hide like
 that, (removes the buffalo head) I am
 on the back of a pig like in
 riding him, because
 done, you have the ears and you have the edge
 nose, you even have shoulders
 more minotaur than pig,
 it's shoulders that go up
 And you see all his stuff there, these
 density changes, I know
 no, it's really confusing
 done, as if you were behind a
 minotaur like that.",1,0,1,0,1
"So that’s a line (the
 trace with his finger), water
 (shows the bottom), not water (shows the top), to put it simply
 or the opposite",1,0,1,0,0
"You see the fact that there
 go deep over there you
 see (left), like here you can
 have water lilies, things,
 stuff like that, and you move on to
 side of the fleet and you have like a
 lake or something like that",1,0,1,0,0
"In fact, we have the impression
 whether it is a lake or a canal rather,
 This is the edge of the canal here
 (shows the line), so you have the
 reflection, which is funny because at night,
 you don't have a reflection because you don't have
 enough light but like
 it’s dark it makes you want
 to imagine the night.",1,0,1,0,0
"You even if you look
 well you have some kind of shadows
 here you can imagine people who
 wander around, once again
 how rare it is at night or so
 you imagine the foggy side",1,0,1,0,1
"That reminds me of a
 train plume, I don't even know
 whether it's relevant or not",0,0,1,0,0
"Well that looks like a
 night butterfly,",1,0,0,0,0
"It makes me think of
 Batman too (laughs) Hm, that reminds me of the butterfly
 at night more than at Batman
 And the moth, and there I
 tell stories too, you see
 I told you I needed one
 little time to relax,
 I will have more things to say about
 last five so, I am
 sorry (laughs)
 Hum the atmosphere, the fact that we
 take a test, whether it is
 Rorschach so there is a more psychological test side than
 personality in my head but
 There
 The moth makes me
 think about, what is it called, the
 silence of the lambs, and all its
 theme around change and
 the evolution that I find for the
 very interesting shot and which is
 symbolized by the butterfly more than
 the moth but uh by the
 butterfly, from the side hum, caterpillar,
 chrysalis, and skin change
 you see. For once, the film is a
 a bit creepy but quite nice
 Afterwards, me, what
 -whatever it wants
 say in relation to me bah…. I
 I don't know but I'll share this with you
 what I think and it makes me think of
 That.
 Hmm, there you go
 Afterwards if I share more than that with you,
 it's more compared to the image
 but you have to tell me if it’s
 coherent or not because then I
 will talk less and less about
 the image. (answer: we need to talk about
 the image, what you see)
 The butterfly has weird eyes",1,0,0,0,0
"That for once (shows)
 it gives me a bit of chills down my spine
 because it makes me think of
 parasites that you have in the
 insects in general
 It makes them look big-eyed when
 normal because in fact there is a
 parasite that is inside",1,1,0,0,0
"Conversely, the
 tail she is really classy and
 pretty.",1,0,0,0,0
"Notable and interesting fact,
 he is going forward, he is in the process
 to spread the wings to take off",0,0,0,0,1
"Because we could
 take it in this direction, the opposite
 that would mean that he would already have
 took off, his wings are finally up
 I don't know but I like this image better
 of slenderness especially because the
 tail she is more perfect",0,0,0,0,1
": While there it would be
 weird and the eyes wouldn't be
 also I don't know that's it",1,0,0,0,0
": That reminds me of
 Freddy Mercury (laughing), but hey
 takes imagination but I know
 not if you see this photo where he is
 like that backwards (answer yes)
 The microphone, the head (points) and that
 also works the other way",0,0,0,0,1
": There I see a chin, a
 mouth, a half nose...
 And actually the way it is
 before, for now it's a bit
 plus, not a super pleasant image
 and pretty",0,0,0,1,0
"You have the impression there it is
 a…what do we call it, uh
 shit, a great piece of wood
 big one on which you cling,
 as if it were someone who
 was hooked on it because it
 would look more like arms that
 are tied behind, a bit like
 witch who is going to be burned
 And the fact that it's a little blurry
 reminds me of the witch side
 which has already started to burn a little
 what with the smoke
 It's less joyful, I
 preferred Freddy Mercury ˂ That said when he has a mouth
 closed, it does not seem to scream
 phew
 And there on the same principle, and it is
 funny I had to return it
 because I don't see it from that side,
 I really see the witch",1,0,1,0,1
"While on this side, we
 put Freddy Mercury there and see
 no longer anyone who is hooked and that's it
 no more pole dance, you have the bar And I think it's good yes, there
 has more inspiring ones than
 others",0,0,0,0,1
"First thing, it makes me
 think of a star wars ship
 the Xwing, well after that it is not
 exactly like that but this
 makes me think of it",0,0,0,1,0
"This part makes me
 think of a fish (hide the bottom
 of the image) seen from above, with you
 know the fish that fly there with
 so the wings are really there
 seen from above what, this side like
 from above",0,0,1,0,0
"And that all together gives me
 looks like a key
 It’s a bit of a weird key and
 so that… it’s just that she’s not
 not very long and you can imagine that
 blow (show) which is a little more
 elongate",0,0,0,1,0
"That reminds me of a
 tick with small teeth,
 hooks.It’s funny because I don’t
 only take parts of images",0,0,0,1,0
"Really in his
 together where it’s classiest
 It reminds me of a shore,
 anyway there is the mirror side which
 still often makes one think of
 that. Now even more peaceful
 than just now. Because everything
 the time you had, the side you
 you move away and you come closer, you
 see, you had a notion of
 depth",1,0,0,0,0
"But there you have more
 the impression that you are facing a
 lake. Yeah, that reminds me more of a lake. And so actually, it's like
 stagnant water.
 You see things like that
 (shows), the water is not agitated you
 see ",1,0,0,0,0
"But it still does
 think of a lake where like, it's raining
 what, there are like reeds,
 stuff like that
 Then it's more, I don't know
 what, I can imagine the rest,
 a plain or I don't know what
 (shows dark gray)",1,0,0,0,1
"And there you see it’s weird,
 because you have the change of
 colors, it’s like the sky
 (points to the top), and there you have
 grass with meadow in the distance
 flowery, stuff like that Once again it's zoomed in
 do. (Walks away in his chair with
 the board, puts it away from its
 eyes)
 Because it’s true that we could
 have fun looking at the image
 even further away and to which
 case… I don’t know if you see what
 I mean, I'm not walking away
 really but… if you change
 the scale in fact",1,0,1,0,0
"And this kind of small
 there, these clarifications,
 it could be city stuff
 done, squarely, in the distance and suddenly
 it has a very distant horizon and
 suddenly which explains why it is
 a little foggy
 Typically that would be more
 close, like you're coming, I don't know
 me on a boat, you arrive at something
 like that and you have the lights of the
 night once again But it's funny because in
 done, to be able to imagine that, that
 what I tend to do is
 imagine, finally compensate for the
 white actually. In my head, you
 see, that is to say that this part is not logical in this
 image that I evoked to you, if we
 try to make a picture of it uh...
 that's not logical so I'm hiding
 (pfiou-noise to remove it with its
 hand), because otherwise it loses a
 little of that…(shows where he puts
 gray)",1,0,1,0,0
"That makes a gun
 (peep-peep sound of gunfire) And yeah no, I don’t know, um…",0,0,0,1,0
"That makes me think more of
 flames",1,0,0,0,0
"And so you're sure, I know
 not me like uh... an edge of
 uh... once again you have the side
 floats, and you have the forest side that burns
 what, summer fire or I don't know
 So it's much more
 coherent because it's smoke
 who starts from that",1,0,1,0,1
"That could be a line
 also, with the thing that stings but
 uh… generally it’s
 much finer though,
 but that's what.",0,0,0,1,0
"And there it is a gentleman
 grumpy with one eye, a big nose,
 a mouth and a chin and not
 lots of hair on the
 pebble Yeah I think it's good",0,0,0,1,0
"I see a rabbit but
 then it is complicated to
 explain (laughs).",0,0,0,1,0
A big ant's behind.,0,0,0,1,0
"A butterfly with an ant, a big head, little hands with a radar like bees. A mixture of ant, butterfly and bee.",0,0,0,1,0
"A dead man with red eyes, his mouth open, he smoked a joint.",1,0,0,0,0
"A dead animal, I don't know... maybe a frog crossed with a fly's ass.",0,0,0,1,0
"A beetle with claws to defend itself with the body of a frog, it is broken, because the lower part of the body is missing and it has the eyes of a fly.",1,0,0,0,0
Butterfly wings.,0,0,0,1,0
A butterfly.,0,0,0,1,0
"A butterfly with bat wings, with mouths to calculate altitude.",0,0,0,1,0
Guts...I don't know,0,0,0,1,0
"Indian stuff, a totem with feathers.",0,0,1,0,0
"An animal fur, but they removed the head. How many boards are left?",0,0,1,0,0
Elephant heads must belong to a hunter.,0,0,0,1,0
"There are beams to hold elephant heads, a hunter collects them.",0,0,0,1,0
A dead flying animal hanging above.,0,0,0,1,0
"Two tigers, two lions, two wild animals.",0,0,0,1,0
Guts.,1,0,0,0,0
"They're walking around on something bloody, they're going to an aperitif.",1,0,0,0,1
Normal hoses.,1,0,0,0,0
The casings are smoked because they are green.,1,0,0,0,0
Branchites.,0,0,0,1,0
"It's the body of an alien, because it has 4 lungs.",0,0,0,1,0
Animal head.,0,0,0,1,0
The blue thing is fleet.,1,0,0,0,0
Pink is blood.,1,0,0,0,0
"There was a fight, but the body is no longer there, the blood is still fresh.",1,0,0,0,0
Little beasts that drink blood.,1,0,0,0,1
Between the breasts there is someone who has marked their territory.,1,0,0,0,0
Green is grass.,1,0,0,0,0
I would have said more or less a butterfly that has holes so it's a bit weird...but then maybe it's because it's symmetrical,0,0,0,1,0
"Otherwise, we can, finally I can see a face there in the center",0,0,0,1,0
Maybe they look like men raising their hands,0,0,0,0,1
"Ah, maybe a cloud but right there",0,0,1,0,0
They look like rabbits checking each other,0,0,0,0,1
It looks like a butterfly again,0,0,0,1,0
"Oh yeah, it’s a bit weird but it looks like a person cut upside down who is on their back, or rather on their stomach",0,1,0,0,1
It still looks like a butterfly,0,0,0,1,0
"In the place, I no longer see a pool",0,0,0,1,0
A few individual figures on each side but a little misshapen,0,0,0,1,0
"It looks a bit like...I don't know...ah if an elephant or more like a mammoth, well it's more or less the same thing...but suddenly it doesn't have an eye, it's deformed",0,0,0,1,0
"Well, it really looks like a butterfly…^v^… It looks like it has a face, eyes and a nose, well I see",0,0,0,1,0
It looks like a kind of guitar in the shape...v... or a tree in the other direction,0,0,0,1,0
I see something else but I can't say what...a fruit that has been cut but it's not very precise,0,0,0,1,0
It looks like a kind of face,0,0,0,1,0
"They look a bit like characters there, the face and the bust",0,0,0,1,0
"The things there in pink on the side look like animals, species of tiger or panther something like that",1,0,0,0,0
The thing at the top looks like an insect head but close up,1,0,0,0,0
The orange things look a bit like flames,1,0,0,0,0
"The green things look a bit like rhinoceros heads, more or less.",0,0,0,1,0
It looks like there's a bone right in the middle of it.,0,0,0,1,0
The gray stuff looks like lungs,1,0,0,0,0
"In blue, they look like palm trees",1,0,0,0,0
"It looks like a face with pink, everything and the eyes, more of an animal face suddenly",0,0,0,1,0
"It looks like a little guy with scorpion tail wings, super precise",0,0,0,1,0
The yellow things look like birds,0,0,0,1,0
They look a little like little rabbits,0,0,0,1,0
"Uuh... Oh, I see a guy uh... kind of vicious (laughs), I don't know how to explain it to you, but like uh, it's his eyes and... and like he has a mocking smile with big ears yeah",0,1,0,0,0
"Or maybe an insect, no… yes? Yeah, no I see that myself. Even when I turn, I see it but just upside down in fact (laughs).

I admit, I don't... I find it a bit, I don't know, nasty, like, the photo... the image, I was going to say the photo is an image. I find the image nasty, yeah, not pleasant, not… it’s not the best.",0,0,0,1,0
"Oh ! Then I see a little butterfly.
But I like this image, I like the colors, it's a little... well it's less..., it's more pleasant than the first.
",1,0,0,0,0
"So, I don't know why, but... it's, I don't know... I have the impression that it's paws, like legs and there a... I don't know. So wait (laughs). I would put it like that. Yeah, there are legs, like thighs, they look like chicken things (laughs) and there is a butterfly, and there I don't know.",0,0,0,1,0
"Han! It looks like two people fighting, head to head, like, and the butterfly is shock. And then it’s their paws.",1,0,0,0,1
"They look like animals. Or people? No, a bit of animals, I don't know. Yeah no, animals fighting. Plus uh, there's a little red on them, so they look like blood stains. Yeah.
Lots of violence huh? (Laughs)",1,0,0,0,1
"Yeah, that's about it. Yeah. Then there they even look like little horns, a bit like uh... like the devil's horns fighting.

Yeah. That's about it, I think.

Oh I took another minute! (Laughs)",1,0,0,0,1
"Um, it looks a bit like two…, two men trying to carry a heavy load and there it looks like a bow tie. There are a lot of butterflies too...",0,0,0,0,1
They look like lungs. So why would there be lungs… that’s a big question.,0,0,0,1,0
"But yeah, it looks like two men facing each other.",0,0,0,0,1
"So, it's a little strange what I'm going to say but I have the impression a little that in the middle it's their heart, and that I don't know... there's an uh... there's an exchange which is done.",1,0,0,0,1
"I…, I…, I don’t know why, but I kind of see love, but impossible, yeah. They seem to want to go towards each other but... or maybe the red next to it is like uh... their intention is elsewhere and in fact... I don't know. Hmm.",1,0,0,0,1
"Oh ! But if I turn the image over, I see a frog! (Laughs) but that has nothing to do with it! Well yeah, there I see a frog. So, a frog with a little red butterfly on uh... but missing legs, maybe they are cut tick tick tick...",1,0,0,0,0
"Or an insect, yeah but the kind that attacks someone.

It's funny.",0,0,0,0,1
"Or two men, who are back to back, and uh... I don't know if you see, but like... during the story, like in uh mode, when they had to duel, they stood back to back, and then were they moving forward? Well, I see that. (Laughs) Like at the beginning when they're back to back, and then I see them going... and then I don't know, they look like guns, so that's why I say that.",0,0,0,0,1
"Yeah, then precisely, the fact that it's a duel and that I always see hearts in the middle. I don't know, I have the impression that they are going to fight even though they love each other.
I do not know why.",1,0,0,0,1
"And then there is still the story of blood.

Yeah there you go.

Yeah, no I don’t have anything to add I think.
",1,0,0,0,0
"Then I see a bat. (Laughs)
This one isn’t… she’s not funny either. I see her a little dark.",1,0,0,0,0
It looks like a crushed or dying animal. Hmm.,0,0,0,0,1
"Or there it looks like a wild boar, like there are its ears, and there is its snout. (Laughs)

Why do I see animals everywhere, that's the real question.
",0,0,0,1,0
"Yeah I see a beast, which actually looks at me nastily. It seems like she wants me, uh…, she blames me for something.",1,1,0,0,1
"Or maybe a mask, I don't know. Yeah.

Yeah, that one isn't nice (laughs), I don't like it, I prefer it with the red spots (laughs).
",0,0,0,1,0
"It looks like a butterfly. There are a lot of butterflies, eh…",0,0,0,1,0
"Ah! Or two birds which... like this is their beaks, and this is their wings. Hmm.",0,0,0,1,0
"Yeah, a butterfly trying to fly away somewhere. Hmm.",0,0,0,0,1
"Or the bottom of a mask, to kind of hide the... like there I see the nose, and there it's to hide like the mouth, yeah. Like the bad guys in the movies.",0,0,0,1,0
"Uh…
I see an animal skin, it’s horrible!
Like rugs, bear rugs and stuff. I do not like at all. (Laughs).
",0,1,0,0,0
"Or uh... What do I see? I see a bit of a totem there, like Indian totems.",0,0,0,1,0
"Then there I see an expanse of grass or water, something quite peaceful. If we join the totem, yeah something quite peaceful.",0,0,1,0,1
"And otherwise yeah, when I go back I see an animal skin, well, less peaceful, with perhaps a chimney fire there as a result.

I dunno. I imagine myself among hunters.
",0,0,1,0,1
"Ah, but if I take it like that, I have the impression that we are in the water and that in fact it is the reflection of the water and that therefore it is a bit of a forest , or a mountain. Something that fits into the landscape in any case. But uh, I wouldn't go for a walk there, eh, because it looks a little weird anyway. It looks a bit like a haunted forest, like in the movies. Maybe it's the color black that makes me say that but uh... But yeah.",1,1,1,0,1
"And otherwise, there I see little hooks, giving the impression that it's... I don't know, something that's going to close to catch you.",0,0,0,0,1
"Yeah, now I see that the forest actually. There it looks darker than there, so I would say that there is where people don't want to go and there against all odds, that's where we want to go. Yeah.",1,0,1,0,1
"Or maybe I see two bears there! Two bears holding out their arms like that. (Laughs). And that’s their little snout there. But so I don't really know what they are about but... they are committed to something.

It looks like they're trying to break away, and their skin is like fixed. Yeah. (I see their backs stuck together, she adds when I ask to repeat).

Yeah I like this board. That's all I really have to say, but I like it.",0,0,0,0,1
"So there, I see two faces, with hair in the air, which are turned but at the same time which... in fact their head is, like, turned upside down in relation to their body, because I have the impression that their body goes that way but their head goes that way. And there it's like... there's their front, end it's their bust and there it's their legs I think... Han, yeah maybe... they're going to a place but uh, they want to look at the other kind.",0,0,0,0,1
"Then I don't know why, but there I see a nasty face, in uh mode, there it's the eyes, there the nose, and I don't know there's a nasty face looking down.",0,0,0,0,1
"So there I see two little animals, hop chu chu chu. (Makes signs with his hands).",0,0,0,1,0
"There I suddenly see a forest, to get closer to the animals.
And in fact there it looks like a fire and it looks like they are escaping from the fire to go into the forest which is not yet on fire.
",1,0,1,0,1
"Or uh, I see human organs, that’s weird. There I see like lungs and the heart. Yeah.",1,0,0,0,0
Or then I see a bit of a flower. I don't know what they're called anymore... Thoughts. I see a thought. Yeah then there it would be like its stem with the leaves. But I don't know what that would be. I would say tears but a thought cannot cry. (Laughs). But it looks like it.,1,0,0,0,0
"Or maybe we can talk again about the reflection, I also see a reflection again, the same one which... which uh, which passes from one rock to another, the beast there, the panther, I don't really know what, but I see flee in any case. That’s clear and clear. Even if I see two, or one, I see them fleeing.",0,1,1,0,1
"Oh, then I see a hand trying to help him like. Maybe tell him uh “come”.",0,0,0,0,1
"Then in the center there, I see a zebra's head, I don't know why but uh, a small zebra's head.

Yeah, I like this board, the color gradients and everything, I like it.
It makes me happier than the one in black in any case (laughs).
So.
",0,0,0,1,0
"(Laughs) I see a fat lady! (Laughs) I see a fat lady with her hands like that (puts her hands on her hips), and there's her big hair (laughter) and there's her little face. But with a period outfit like uh, in fashion uh like the ladies of the court. With a big dress and everything, there a corset, but with big puffed sleeves, and it sits like that (shows me). You can see she's going to... shout at someone like that.",1,0,0,0,1
"Or then I see two shrimps, I don’t know if it’s the orange color that makes me say that or… the weird shape but uh, I see shrimps.

She makes me laugh, because suddenly I only see the fat lady.
",1,0,0,0,0
"Oh ! Or I see a gentleman with big mustaches. There are his eyes, and there are the mustaches and there is a big hat, and there is the, the outfit, plus there they look like little buttons, and there a collar. So you look like a gentleman or a lady. And the man doesn’t seem happy either. But he looks a bit like a gentleman, uh, a gentleman from a fairytale world. In uh mode...

Whereas the fat lady really looks like someone… real. Like, it wouldn't surprise me to see her in real life, in a medieval film, in the mode that really existed. Whereas I see him more in a Disney or, in a mode that doesn't exist.
",0,0,0,1,0
"And his hat could be the shrimp. I see it in a sea world. It’s obvious that he’s actually a villain in a film.

Yeah that's all. I like it.
",1,0,0,0,0
"Oh it looks like uh, the blue looks like fireworks, and there I see the Eiffel Tower. Well, I see fireworks at the Eiffel Tower.",1,0,0,0,1
"Ohh no, or there we look like a gentleman again but a gentleman who smiles, he is benevolent. With his little horns like. No, that's his eyebrows actually. Yeah I like it. There too I see myself a little in a magical world. Plus I like these worlds so uh…",1,0,0,0,1
And at the same time if… there I see little frogs.,0,0,0,1,0
Or there I see a gentleman who is not happy. Like there are his two little eyes.,0,0,0,1,0
"Or if I take it like that, it looks like a... an animal jaw like that, which makes choosy, which wants to make chooc... on I don't know what. But uh, yeah.",1,0,0,0,1
"Yeah, no, I don't really know uh... so it's weird what I'm going to say but the green one looks like a woman's uterus, like it has the same shape.

Yeah that's all. But I also like this board.",0,0,0,1,0
"Uh, well I see an insect uh, end pff (sigh), butterfly style or, uh, end there, with... uh. Should I describe uh really in detail or...? Well there, the first thing that came to me was an insect, more, there, more towards a butterfly, there because there is a shape of, well really we see the body in the middle with uh, well even antennas, well anyway, and then here are the wings, on each side.",0,0,0,1,0
"
“Well afterwards we can also see two animal heads uh well, the same when imagining eh. "")
",0,0,0,1,0
"So it's true that for once there's not a huge difference compared to the first end apart from that there, in the middle, there's not the, we'll say the middle part, end I mean it it's more, it's, there's nothing there at the end, it's white, but on the sides there are still aspects of..., wings, end there.",0,0,0,1,0
"But then, by imagining we can see a central alley with at the end an entrance of, of, of, of..., of a door of, of a castle or I don't know what, end of something quite uh..., of quite grandiose we will say.",1,0,0,0,0
"There you go, then on the sides it can be an avenue of, trees, end of vegetation or..., there you go with a central avenue in the middle.",1,0,0,0,0
"“Now it hits me, I clearly see a butterfly there. "")",1,0,0,0,0
"And there I just saw two heads (laughs), back to back.",0,0,0,0,1
"Uh well there I can, we can imagine here are two people face to face, rather sitting, uh discussing fine or whatever, in short uh. Uh. Here it is, after…

That's it, I'm going to stop there because I can't really figure out the rest... It's always the same theme, fine black and red uh. (Laughs), yeah, well it's always the red that bothers me, end I don't really know how to do the drawings, end if we can say the red drawings, I don't really know what, yeah, how to do it (laughs) . Well, maybe it will come gradually, uh, with the others (sigh)!
",0,0,0,0,1
"I see a bow tie but I didn't say it at the beginning, because I wanted to have cohesion with the two people there, so what the hell is he doing there (laughs), then we can imagine things.",1,0,0,0,0
"If there we can also imagine animal legs, rather hoofed, like horses, cattle...",0,0,0,1,0
"On each side we can see people with their legs in the air, there you go, raising their legs.",0,0,0,0,1
"Um, there it can also be an interpretation of, of an insect, uh, pff, (sighs), an insect, I can't really say what, but here's an insect, here it is with antennae, legs, end...",0,0,0,1,0
"There you go, then you can imagine a kind of monster or something, end there, an imaginary thing, uh, there you have it with big feet, slightly odd hands, end of arms, a slightly pointy head uh, yeah there you go.",1,0,0,0,0
It could be some kind of slug or...,0,0,0,1,0
"A kind of bat, because there are still wings which… you can say that it’s a flying insect too.",0,0,0,1,0
"Well, my first sight, my first sight is always, well, it’s always in the same…, in what, machine, it’s always an insect that comes to me right away first. Uh, pff, then here come the insects uh.",0,0,0,1,0
"Um, after the ends here are the sides, end I, I could see here are a kind of animal legs uh…, (sigh).",0,0,0,1,0
"The middle could also be a slightly odd body of a person uh, well that's it (laughs), a slightly unusual body but hey, there you go, with little legs (laughs), a head and that's it. rigor, a hat, we will say donkey, fine.",1,0,0,0,1
"And then a big cape, fine, that's it.",1,0,0,0,0
"So uh... We could see a bit of a shape uh, a shape, a kind of star uh, yeah a kind of star, not very very well done but there you go, a star.",0,0,0,1,0
"Um, above that could be a bird.",0,0,0,1,0
"Afterwards we could also see an insect, eh always the same, always with the shapes, here is the end with a kind of pincers, uh, here is the mouth, the antennae, end. Yeah.",0,0,0,1,0
"I see a lot of things now (laughs). There two faces, back to back, really the extremity, the shapes of the face.",0,0,1,0,1
"There we could see an animal, which would be almost immersed in water and there would be its reflection with its head and eyes. I will see him long enough",1,0,1,0,1
"So if we can, we could imagine two, so I don’t know if it’s people or cats, I can’t really… (laughs). We're going to say two people face to face, looking at each other, there you go, uh...",0,0,0,0,1
"Or perhaps statues of a sort, in people who would be placed here on a base uh.",0,0,0,0,1
"We could see an entrance like a door or something, in the middle.",0,0,0,1,0
"Uh, pff, we could even see four people, I'm seeing, uh end four faces, so hanging on, two by two, end they are hanging two by two, yeah.",0,0,0,0,1
"Um then, we could see uh..., two animals on each side, so after that I don't really know what, but hey on four legs, four-legged animals, after that I don't really know what kind of animals but there you go animals.",0,0,0,1,0
"Um, it could also be one, in the middle so uh an insect body or even perhaps a human body but hey, you have to be a little imaginary. Uh.",0,0,0,1,0
"That's if with the spine above, end on the middle.",0,0,0,1,0
"Well then it could be rocks, it could be uh., it could be rocks that the animals climb on.",0,0,0,0,1
"It could be either trees or vegetation, it could be uh… Yes.",1,0,0,0,0
"Um yes, it could still be a fine insect of course…",0,0,0,1,0
"You could imagine a guitar in the middle.

Uh.
",0,0,0,1,0
"Two faces a bit..., not very clear, on each side in green.",1,0,0,0,0
"We could see a face with a small body again, and then the same on the other side. It’s really the eyes that could make me think…, with the fine nose. Shades bring out facial features",1,0,1,0,0
"Well, we could see uh > < ^ some kinds of spiders we could see. >",1,0,0,0,0
"Two faces, the same, face to face, looking at each other. With a thin, elongated body, a little, well that's of course imaginary.",0,0,0,0,1
"An uh, (sigh) a tool, a pair of pliers, a pair of pliers… Uh.",1,0,0,0,0
